0.048863, 0.336748, 0.241272, 0.371163, 0.250446, 0.060129, 0.05638, 0.00919, 1.37539
0.058325, 0.340746, 0.349382, 0.769987, 0.349429, 0.05913, 0.052088, 0.00902, 1.98925
0.107489, 0.394524, 0.257407, 0.382513, 0.248188, 0.059004, 0.048693, 0.009281, 1.50892
0.069594, 0.35056, 0.243971, 0.375268, 0.249118, 0.05862, 0.049312, 0.008879, 1.40655
0.058968, 0.35462, 0.243964, 0.364951, 0.25978, 0.059777, 0.050257, 0.009305, 1.40302
0.063498, 0.358527, 0.241869, 0.369804, 0.247413, 0.058484, 0.049562, 0.008817, 1.39992
0.062942, 0.354724, 0.239477, 0.386529, 0.25211, 0.063131, 0.049037, 0.008958, 1.4184
0.058626, 0.351316, 0.238212, 0.368455, 0.243855, 0.058513, 0.047252, 0.008968, 1.37674
0.066296, 0.343684, 0.241229, 0.380923, 0.2453, 0.064009, 0.047309, 0.00902, 1.39896
0.057236, 0.350199, 0.241885, 0.366365, 0.247972, 0.0584, 0.048554, 0.009117, 1.38089
0.056957, 0.348538, 0.260607, 0.39518, 0.254921, 0.059164, 0.049691, 0.009458, 1.43568
0.058246, 0.350358, 0.242837, 0.37309, 0.242669, 0.062429, 0.051159, 0.009361, 1.39154
0.058101, 0.352007, 0.238234, 0.373663, 0.243029, 0.05837, 0.048535, 0.008965, 1.38241
0.066664, 0.348246, 0.241832, 0.370061, 0.243851, 0.058805, 0.049266, 0.008932, 1.38922
0.058261, 0.350394, 0.242517, 0.365434, 0.25037, 0.05897, 0.050478, 0.009516, 1.38716
0.060925, 0.349616, 0.241288, 0.386482, 0.256505, 0.061384, 0.050698, 0.009425, 1.41761
0.067306, 0.353874, 0.237275, 0.370895, 0.244798, 0.062556, 0.051254, 0.009465, 1.39921
0.059003, 0.353387, 0.25036, 0.382112, 0.253863, 0.058128, 0.0506, 0.010607, 1.4195
0.070165, 0.343155, 0.243656, 0.383697, 0.253302, 0.059464, 0.05, 0.009162, 1.41381
0.059406, 0.363131, 0.262314, 0.397606, 0.26631, 0.059659, 0.0498, 0.009121, 1.46853
0.057752, 0.491073, 0.288614, 0.438538, 0.264128, 0.058966, 0.058283, 0.009124, 1.66772
0.059088, 0.348194, 0.252049, 0.39391, 0.258119, 0.060038, 0.049172, 0.009057, 1.43089
